,＝＝＝＝＝＝＝＝＝＝キーワードcsvファイル＝＝＝＝＝＝＝＝＝＝
,CSVの記法は下記の通りです。（RFC4180に従っています）
,1.列をカンマで区切る
,2.行は改行で区切る
,3.セル内に改行やダブルクオーテーションを入れたい場合はセルを""で囲む
,4.ダブルクオーテーションは""と記述する（1つのダブルクオーテーションに対し、2つのダブルクオーテーションを記述する）
,上記ルールに従えば、Excel等でも編集できます。（Excelの場合は、テキストエンコーディングをShift_JISにする必要があるかもしれません。）
,テキストエンコーディングは自動認識しますが、一行目に下記の一文を入れると確実に認識できます。
,""charset=（テキストエンコーディング名）""
,＝＝＝＝＝＝＝＝＝＝カラムの説明＝＝＝＝＝＝＝＝＝＝
,カラム1:キーワード
,カラム2:キーワード説明
,カラム3:型名
,カラム4:親キーワード
,カラム5:キーワード色タイプ
,カラム6:補完テキスト
,カラム7:キーワード情報クリック時移動先URL
,※カラム1が空の行は無視されます。（＝コメント行として使用出来ます。）
,※カラム5のキーワード色タイプは下記の8種類（モード設定の「色」タブの各色に対応しています。）
,0.""reserved-word"", 1.""method"", 2.""property"", 3.""variable"", 4.""class""
,5.""macro"", 6.""other1"", 7.""other2""
,＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
,Perl用キーワード
,
,＝＝＝＝＝＝＝＝＝＝カラムヘッダ＝＝＝＝＝＝＝＝＝＝
,キーワード説明,型名,親キーワード,キーワード色タイプ,補完テキスト,移動先URL
,＝＝＝＝＝＝＝＝＝＝予約語＝＝＝＝＝＝＝＝＝＝
and,,,,reserved-word
caller,,,,reserved-word
cmp,,,,reserved-word
continue,,,,reserved-word
defined,,,,reserved-word
delete,,,,reserved-word
die,,,,reserved-word
do,,,,reserved-word
dump,,,,reserved-word
else,,,,reserved-word
elsif,,,,reserved-word
eq,,,,reserved-word
eval,,,,reserved-word
exit,,,,reserved-word
false,,,,reserved-word
for,,,,reserved-word
foreach,,,,reserved-word
formline,,,,reserved-word
ge,,,,reserved-word
goto,,,,reserved-word
gt,,,,reserved-word
if,,,,reserved-word
import,,,,reserved-word
last,,,,reserved-word
le,,,,reserved-word
local,,,,reserved-word
lt,,,,reserved-word
my,,,,reserved-word
ne,,,,reserved-word
next,,,,reserved-word
not,,,,reserved-word
or,,,,reserved-word
our,,,,reserved-word
package,,,,reserved-word
prototype,,,,reserved-word
redo,,,,reserved-word
reset,,,,reserved-word
return,,,,reserved-word
scalar,,,,reserved-word
sub,,,,reserved-word
true,,,,reserved-word
undef,,,,reserved-word
unless,,,,reserved-word
use,,,,reserved-word
wantarray,,,,reserved-word
while,,,,reserved-word
,＝＝＝＝＝＝＝＝＝＝組み込み関数＝＝＝＝＝＝＝＝＝＝
abs,,,,method
accept,,,,method
alarm,,,,method
atan2,,,,method
bind,,,,method
binmode,,,,method
bless,,,,method
caller,,,,method
chdir,,,,method
chmod,,,,method
chomp,,,,method
chop,,,,method
chown,,,,method
chr,,,,method
chroot,,,,method
close,,,,method
closedir,,,,method
connect,,,,method
continue,,,,method
cos,,,,method
crypt,,,,method
dbmclose,,,,method
dbmopen,,,,method
defined,,,,method
delete,,,,method
die,,,,method
do,,,,method
dump,,,,method
each,,,,method
endgrent,,,,method
endhostent,,,,method
endnetent,,,,method
endprotoent,,,,method
endpwent,,,,method
endservent,,,,method
eof,,,,method
eval,,,,method
exec,,,,method
exists,,,,method
exit,,,,method
exp,,,,method
fcntl,,,,method
fileno,,,,method
flock,,,,method
fork,,,,method
format,,,,method
formline,,,,method
getc,,,,method
getgrent,,,,method
getgrgid,,,,method
getgrnam,,,,method
gethostbyaddr,,,,method
gethostbyname,,,,method
gethostent,,,,method
getlogin,,,,method
getnetbyaddr,,,,method
getnetbyname,,,,method
getnetent,,,,method
getpeername,,,,method
getpgrp,,,,method
getppid,,,,method
