,＝＝＝＝＝＝＝＝＝＝キーワードcsvファイル＝＝＝＝＝＝＝＝＝＝
,CSVの記法は下記の通りです。（RFC4180に従っています）
,1.列をカンマで区切る
,2.行は改行で区切る
,3.セル内に改行やダブルクオーテーションを入れたい場合はセルを""で囲む
,4.ダブルクオーテーションは""と記述する（1つのダブルクオーテーションに対し、2つのダブルクオーテーションを記述する）
,上記ルールに従えば、Excel等でも編集できます。（Excelの場合は、テキストエンコーディングをShift_JISにする必要があるかもしれません。）
,テキストエンコーディングは自動認識しますが、一行目に下記の一文を入れると確実に認識できます。
,""charset=（テキストエンコーディング名）""
,＝＝＝＝＝＝＝＝＝＝カラムの説明＝＝＝＝＝＝＝＝＝＝
,カラム1:キーワード
,カラム2:キーワード説明
,カラム3:型名
,カラム4:親キーワード
,カラム5:キーワード色タイプ
,カラム6:補完テキスト
,カラム7:キーワード情報クリック時移動先URL
,※カラム1が空の行は無視されます。（＝コメント行として使用出来ます。）
,※カラム5のキーワード色タイプは下記の8種類（モード設定の「色」タブの各色に対応しています。）
,0.""reserved-word"", 1.""method"", 2.""property"", 3.""variable"", 4.""class""
,5.""macro"", 6.""other1"", 7.""other2""
,＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
,Ruby用キーワード
,本csvデータはRubyリファレンスマニュアル Ruby 1.9.3版からテキストを抽出して作成しています
,http://doc.ruby-lang.org/ja/1.9.3/doc/index.html
,Rubyリファレンスマニュアル Ruby 1.9.3版は以下のライセンスによって配布されています。
,Creative Commons — Attribution 3.0 Unported
,http://creativecommons.org/licenses/by/3.0/
,
,
,＝＝＝＝＝＝＝＝＝＝カラムヘッダ＝＝＝＝＝＝＝＝＝＝
,キーワード説明,型名,親キーワード,キーワード色タイプ,補完テキスト,移動先URL
,＝＝＝＝＝＝＝＝＝＝予約語＝＝＝＝＝＝＝＝＝＝
BEGIN
class
ensure
nil
self
when
END
def
false
not
super
while
alias
defined?
for
or
then
yield
and
do
if
redo
true
__LINE__
begin
else
in
rescue
undef
__FILE__
break
elsif
module
retry
unless
__ENCODING__
case
end
next
return
until
,＝＝＝＝＝＝＝＝＝＝組み込みライブラリ＝＝＝＝＝＝＝＝＝＝
,＝＝＝＝＝＝＝＝＝＝クラス＝＝＝＝＝＝＝＝＝＝
BasicObject,,,,class
Object,,,,class
ARGF,,,,class
Array,,,,class
Binding,,,,class
Dir,,,,class
Encoding,,,,class
Encoding::Converter,,,,class
Enumerator,,,,class
FalseClass,,,,class
Fiber,,,,class
File::Stat,,,,class
Hash,,,,class
IO,,,,class
File,,,,class
MatchData,,,,class
Method,,,,class
Module,,,,class
Class,,,,class
Mutex,,,,class
NilClass,,,,class
Numeric,,,,class
Complex,,,,class
Float,,,,class
Integer,,,,class
Bignum,,,,class
Fixnum,,,,class
Rational,,,,class
Proc,,,,class
Process::Status,,,,class
Random,,,,class
Range,,,,class
Regexp,,,,class
String,,,,class
Struct,,,,class
Struct::Tms,,,,class
Symbol,,,,class
Thread,,,,class
ThreadGroup,,,,class
Time,,,,class
TrueClass,,,,class
UnboundMethod,,,,class
Enumerable,,,,class
File::Constants,,,,class
FileTest,,,,class
GC,,,,class
GC::Profiler,,,,class
Kernel,,,,class
Marshal,,,,class
Math,,,,class
ObjectSpace,,,,class
Process,,,,class
Process::GID,,,,class
Process::Sys,,,,class
Process::UID,,,,class
Signal,,,,class
ENV,,,,class
Exception,,,,class
,＝＝＝＝＝＝＝＝＝＝BasicObject＝＝＝＝＝＝＝＝＝＝
__id__,"__id__ -> Integer",,BasicObject,method
__send__,"__send__(name, *args) -> object",,BasicObject,method
__send__,"__send__(name, *args) { .... } -> object",,BasicObject,method
equal,"equal?(other) -> bool",,BasicObject,method
instance_eval,"instance_eval(expr, filename = '(eval)', lineno = 1) -> object",,BasicObject,method
instance_eval,"instance_eval {|obj| ... } -> object",,BasicObject,method
instance_exec,"instance_exec(*args) {|*vars| ... } -> object",,BasicObject,method
method_missing,"method_missing(name, *args) -> object",,BasicObject,method
singleton_method_added,"singleton_method_added(name) -> object",,BasicObject,method
singleton_method_removed,"singleton_method_removed(name) -> object",,BasicObject,method
singleton_method_undefined,"singleton_method_undefined(name) -> object",,BasicObject,method
,＝＝＝＝＝＝＝＝＝＝Object＝＝＝＝＝＝＝＝＝＝
new,"new -> Object",,Object,method
send,"send(name, *args) -> object",,Object,method
send,"send(name, *args) { .... } -> object",,Object,method
__send__,"__send__(name, *args) -> object",,Object,method
__send__,"__send__(name, *args) { .... } -> object",,Object,method
_dump,"_dump(limit) -> String",,Object,method
class,"class -> Class",,Object,method
clone,"clone -> object",,Object,method
