,＝＝＝＝＝＝＝＝＝＝キーワードcsvファイル＝＝＝＝＝＝＝＝＝＝
,CSVの記法は下記の通りです。（RFC4180に従っています）
,1.列をカンマで区切る
,2.行は改行で区切る
,3.セル内に改行やダブルクオーテーションを入れたい場合はセルを""で囲む
,4.ダブルクオーテーションは""と記述する（1つのダブルクオーテーションに対し、2つのダブルクオーテーションを記述する）
,上記ルールに従えば、Excel等でも編集できます。（Excelの場合は、テキストエンコーディングをShift_JISにする必要があるかもしれません。）
,テキストエンコーディングは自動認識しますが、一行目に下記の一文を入れると確実に認識できます。
,""charset=（テキストエンコーディング名）""
,＝＝＝＝＝＝＝＝＝＝カラムの説明＝＝＝＝＝＝＝＝＝＝
,カラム1:キーワード
,カラム2:キーワード説明
,カラム3:型名
,カラム4:親キーワード
,カラム5:キーワード色タイプ
,カラム6:補完テキスト
,カラム7:キーワード情報クリック時移動先URL
,※カラム1が空の行は無視されます。（＝コメント行として使用出来ます。）
,※カラム5のキーワード色タイプは下記の8種類（モード設定の「色」タブの各色に対応しています。）
,0.""reserved-word"", 1.""method"", 2.""property"", 3.""variable"", 4.""class""
,5.""macro"", 6.""other1"", 7.""other2""
,＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
,JavaScript用キーワード
,Ecma-262 5.1 Edition / June 2011 ECMAScript Language Specificationを基に作成
,http://www.ecma-international.org/publications/standards/Ecma-262.htm
,Ecma-262のライセンス表示
,Copyright notice
,Copyright © 2011 Ecma International
,Ecma International Rue du Rhone 114 CH-1204 Geneva Tel: +41 22 849 6000 Fax: +41 22 849 6001 Web: http://www.ecma-international.org
,This document and possible translations of it may be copied and furnished to others, and derivative works that comment on or otherwise explain it or assist in its implementation may be prepared, copied, published, and distributed, in whole or in part, without restriction of any kind, provided that the above copyright notice and this section are included on all such copies and derivative works. However, this document itself may not be modified in any way, including by removing the copyright notice or references to Ecma International, except as needed for the purpose of developing any document or deliverable produced by Ecma International (in which case the rules applied to copyrights must be followed) or as required to translate it into languages other than English.
,The limited permissions granted above are perpetual and will not be revoked by Ecma International or its successors or assigns.
,This document and the information contained herein is provided on an ""AS IS"" basis and ECMA INTERNATIONAL DISCLAIMS ALL WARRANTIES, EXPRESS OR IMPLIED, INCLUDING BUT NOT LIMITED TO ANY WARRANTY THAT THE USE OF THE INFORMATION HEREIN WILL NOT INFRINGE ANY OWNERSHIP RIGHTS OR ANY IMPLIED WARRANTIES OF MERCHANTABILITY OR FITNESS FOR A PARTICULAR PURPOSE.""
,
,＝＝＝＝＝＝＝＝＝＝カラムヘッダ＝＝＝＝＝＝＝＝＝＝
,キーワード説明,型名,親キーワード,キーワード色タイプ,補完テキスト,移動先URL
,＝＝＝＝＝＝＝＝＝＝予約語 (7.6)＝＝＝＝＝＝＝＝＝＝
break,,,,reserved-word
case,,,,reserved-word
catch,,,,reserved-word
continue,,,,reserved-word
debugger,,,,reserved-word
default,,,,reserved-word
delete,,,,reserved-word
do,,,,reserved-word
else,,,,reserved-word
finally,,,,reserved-word
for,,,,reserved-word
function,,,,reserved-word
if,,,,reserved-word
in,,,,reserved-word
instanceof,,,,reserved-word
typeof,,,,reserved-word
new,,,,reserved-word
var,,,,reserved-word
return,,,,reserved-word
void,,,,reserved-word
switch,,,,reserved-word
while,,,,reserved-word
this,,,,reserved-word
with,,,,reserved-word
throw,,,,reserved-word
try,,,,reserved-word
class,,,,reserved-word
enum,,,,reserved-word
const,,,,reserved-word
export,,,,reserved-word
extends,,,,reserved-word
super,,,,reserved-word
import,,,,reserved-word
implements,,,,reserved-word
let,,,,reserved-word
private,,,,reserved-word
public,,,,reserved-word
yield,,,,reserved-word
interface,,,,reserved-word
package,,,,reserved-word
protected,,,,reserved-word
static,,,,reserved-word
null,,,,reserved-word
true,,,,reserved-word
false,,,,reserved-word
,＝＝＝＝＝＝＝＝＝＝The Global Objects (15.1)＝＝＝＝＝＝＝＝＝＝
undefined,,,Global,reserved-word
NaN,"Not a Number",,Global,reserved-word
Infinity,,,Global,reserved-word
,----------クラス----------
Object,,Object,Global,class
Function,,Function,Global,class
Array,,Array,Global,class
String,,String,Global,class
Boolean,,Boolean,Global,class
Number,,Number,Global,class
Date,,Date,Global,class
RegExp,,RegExp,Global
Error,,Error,Global,class
EvalError,,EvalError,Global,class
RangeError,,RangeError,Global,class
SyntaxError,,SyntaxError,Global,class
TypeError,,TypeError,Global,class
URIError,,URIError,Global,class
Math,,Math,Global,class
JSON,,JSON,Global,class
,----------メソッド----------
eval,"eval (x)
xをJavaScriptコードとして実行",,Global,method
parseInt,"parseInt (string [, radix])
stringを整数に変換。radix: 基数（省略時は10）。",Number,Global,method
parseFloat,"parseFloat (string)
stringを浮動小数点数に変換。",Number,Global,method
isNaN,"isNaN (number)
numberがNaNならtrue",Boolean,Global,method
isFinite,"isFinite (number)
numberがNaN, +∞, -∞ 以外ならtrue",Boolean,Global,method
decodeURI,"decodeURI (encodedURI)
encodedURIをURIデコード（;/?:@&=+$#は変換しない）",String,Global,method
decodeURIComponent,"decodeURIComponent (encodedURIComponent)
encodedURIComponentをURIデコード（;/?:@&=+$#も変換する）",String,Global,method
encodeURI (uri),"encodeURI (uri)
uriをURIエンコード（;/?:@&=+$#は変換しない）",String,Global,method
encodeURIComponent,"encodeURIComponent (uriComponent)
uriComponentをURIエンコード（;/?:@&=+$#も変換する）",String,Global,method
,＝＝＝＝＝＝＝＝＝＝Object Objects (15.2)＝＝＝＝＝＝＝＝＝＝
,----------メソッド----------
getPrototypeOf,"getPrototypeOf ( O )",Object,Object,method
getOwnPropertyDescriptor,"getOwnPropertyDescriptor ( O, P )",Object,Object,method
